Technique name,Set,Fold number,Accuracy,Precision,Recall,F1 score
DNN_from_scratch,Train,1,0.9783,0.9783596743014102,0.9783000000000002,0.978302298424024
DNN_from_scratch,Test,1,0.8894,0.8895162413954397,0.8894,0.8893309874999501
CNN_from_scratch,Train,1,0.98788,0.98789844638604,0.98788,0.9878418887479918
CNN_from_scratch,Test,1,0.8957,0.8951146726045713,0.8956999999999999,0.895291736594119
DNN_transfer,Train,1,0.92436,0.9247194424879254,0.9243600000000001,0.9236806420337917
DNN_transfer,Test,1,0.8858,0.8857495711697592,0.8858,0.8849490973345334
CNN_transfer,Train,1,0.9295,0.9311119393737577,0.9295,0.9296904852999347
CNN_transfer,Test,1,0.8993,0.9014786285577248,0.8992999999999999,0.8996886101054862
DNN_from_scratch,Train,2,0.9857,0.985693758446871,0.9856999999999999,0.9856905599572736
DNN_from_scratch,Test,2,0.892,0.8924050224038957,0.892,0.8920970105095053
CNN_from_scratch,Train,2,0.98816,0.9881809783867453,0.9881599999999999,0.9881611084859451
CNN_from_scratch,Test,2,0.8931,0.8929722422213718,0.8930999999999999,0.8929641941878433
DNN_transfer,Train,2,0.92354,0.9264621472750953,0.92354,0.9242643642747911
DNN_transfer,Test,2,0.8786,0.8826292976332824,0.8785999999999999,0.8797672690961912
CNN_transfer,Train,2,0.93106,0.9313084897778525,0.9310599999999999,0.9307707871622801
CNN_transfer,Test,2,0.8985,0.8985988746953252,0.8985,0.8980431891777689
DNN_from_scratch,Train,3,0.98304,0.9831916998126168,0.9830399999999999,0.9830270372099308
DNN_from_scratch,Test,3,0.8904,0.8906346989250716,0.8904,0.8897994429842585
CNN_from_scratch,Train,3,0.98458,0.9845862628864595,0.9845799999999999,0.9845633561262289
CNN_from_scratch,Test,3,0.8965,0.8962380137549804,0.8965,0.8962782635008418
DNN_transfer,Train,3,0.92782,0.9279775324578573,0.92782,0.927553005232785
DNN_transfer,Test,3,0.8907,0.8908792210466983,0.8907,0.8903424191789725
CNN_transfer,Train,3,0.92924,0.9307012592285708,0.9292400000000001,0.9295550476280807
CNN_transfer,Test,3,0.8968,0.8987103751181099,0.8968,0.8971391663447384
DNN_from_scratch,Train,4,0.97988,0.9799693182675311,0.9798800000000002,0.9798899939306631
DNN_from_scratch,Test,4,0.8897,0.8902749185105506,0.8896999999999998,0.8897817722133066
CNN_from_scratch,Train,4,0.98116,0.9812979448853627,0.98116,0.9811941086036873
CNN_from_scratch,Test,4,0.8918,0.8919359709186345,0.8918000000000001,0.8918415328661509
DNN_transfer,Train,4,0.92768,0.9275594299505219,0.92768,0.9275275192769422
DNN_transfer,Test,4,0.8859,0.8863619864482779,0.8859,0.8859953416132111
CNN_transfer,Train,4,0.9336,0.9334978826816714,0.9335999999999999,0.933445204695972
CNN_transfer,Test,4,0.8997,0.8996983833477618,0.8996999999999999,0.8996107011112444
DNN_from_scratch,Train,5,0.98136,0.9814408354299905,0.9813599999999999,0.9813510506415198
DNN_from_scratch,Test,5,0.8943,0.8943458361017076,0.8943,0.8940621155997605
CNN_from_scratch,Train,5,0.9831,0.9831785607426691,0.9831,0.9830941237638928
CNN_from_scratch,Test,5,0.891,0.8916881411265398,0.891,0.8909396648231617
DNN_transfer,Train,5,0.92542,0.9258512392854845,0.9254199999999999,0.9250998353860906
DNN_transfer,Test,5,0.8848,0.8850147193245114,0.8847999999999999,0.88442744874244
CNN_transfer,Train,5,0.92408,0.9292918480205667,0.9240800000000002,0.9249974608562054
CNN_transfer,Test,5,0.8911,0.896937538857317,0.8911000000000001,0.8923640910952091
DNN_from_scratch,Train,6,0.98328,0.9834471695244764,0.9832799999999999,0.9832933412890345
DNN_from_scratch,Test,6,0.8867,0.8873987211348819,0.8866999999999999,0.8869123873144165
CNN_from_scratch,Train,6,0.98694,0.9870152957012903,0.98694,0.9869333671397975
CNN_from_scratch,Test,6,0.894,0.8940611925515712,0.8940000000000001,0.8939365273725075
DNN_transfer,Train,6,0.92718,0.9275503036893948,0.9271800000000001,0.92686805486212
DNN_transfer,Test,6,0.8879,0.8879988171063365,0.8878999999999999,0.8875943142623767
CNN_transfer,Train,6,0.93118,0.9312604106286233,0.93118,0.9310713624442707
CNN_transfer,Test,6,0.8979,0.8977996300854825,0.8978999999999999,0.8975663816304607
